"word","freq"
"crown",1.6
"jack",1.593
"shark",1.592
"strike",1.591
"everybody's",1.589
"flesh",1.584
"doctor",1.582
"world's",1.582
"mom",1.582
"screen",1.582
"ordinary",1.58
"keeps",1.573
"anywhere",1.571
"greed",1.568
"companion",1.565
"drive",1.565
"forgot",1.565
"sees",1.565
"windy",1.565
"basement",1.563
"speak",1.562
"split",1.562
"floor",1.558
"righteous",1.557
"theres",1.552
"pet",1.552
"flashing",1.552
"copper",1.549
"went",1.549
"consecrated",1.547
"devout",1.547
"wash",1.546
"amend",1.545
"channels",1.545
"bled",1.543
"candidate",1.543
"photograph",1.543
"pour",1.543
"slut",1.543
"yell",1.543
"smart",1.543
"sailor",1.54
"palpitate",1.538
"hollow",1.536
"hour",1.536
"zone",1.532
"locket",1.527
"rap",1.527
"clever",1.526
"harmthink",1.526
"sever",1.526
"turnin'",1.526
"especially",1.523
"memory",1.523
"kickin'",1.522
"slim",1.522
"easy",1.516
"altitude",1.514
"honey",1.514
"ow",1.514
"changed",1.513
"anyone",1.51
"mingle",1.51
"bold",1.509
"super",1.507
"chitty",1.507
"honest",1.504
"pink",1.504
"destroy",1.502
"main",1.502
"word",1.502
"wiggle",1.501
"single",1.498
"cock",1.498
"raining",1.498
"demons",1.493
"alabama",1.493
"mentally",1.491
"wheel",1.49
"finish",1.489
"serenaded",1.489
"terror",1.489
"breathe",1.483
"lied",1.479
"motor",1.479
"tv",1.477
"adore",1.476
"forgiven",1.472
"rises",1.472
"wearing",1.472
"overload",1.472
"forgiveness",1.471
"shy",1.469
"clue",1.468
"brightest",1.466
"desert",1.465
"bore",1.462
"civilization",1.46
"celebrate",1.459
"second",1.454
"slipped",1.453
"j",1.452
"supernatural",1.449
"fucking",1.447
"mary",1.446
"higher",1.443
"sorry",1.439
"belly",1.437
"send",1.433
"books",1.431
"bicycle",1.43
"brutus",1.43
"judas",1.43
"chain",1.429
"quite",1.428
"lap",1.424
"bleeding",1.423
"dyin'",1.422
"forty",1.422
"order",1.419
"pickin'",1.417
"plan",1.415
"gun",1.414
"prove",1.414
"flick",1.413
"special",1.411
"fuss",1.408
"midnight",1.402
"wishing",1.402
"liar",1.402
"hug",1.401
"ends",1.4
"local",1.399
"masses",1.396
"worse",1.396
"woah",1.395
"atmosphere",1.394
"means",1.393
"due",1.393
"birds",1.393
"angel",1.393
